ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Customer_Feedback
388,1960,Graduation,Together,63381.0,0,1,10/5/2012,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,3,11,0,Great customer service and very smooth experience.
389,1949,Graduation,Together,38823.0,0,1,8/30/2012,56,70,0,11,2,8,23,1,2,1,3,6,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
390,1968,PhD,Divorced,83664.0,1,1,5/8/2013,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,3,11,0,Absolutely love the selection of wines and meats.
391,1979,Graduation,Together,90300.0,0,0,1/3/2014,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,3,11,0,Will definitely be buying again. 5 stars.
392,1979,Master,Together,62499.0,1,0,12/9/2013,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
393,1993,Graduation,Single,74293.0,0,0,5/4/2014,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,3,11,0,Great customer service and very smooth experience.
394,1946,PhD,Married,51012.0,0,0,4/18/2013,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
395,1968,Master,Married,70777.0,0,1,2/25/2014,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
396,1991,PhD,Together,68682.0,0,0,10/6/2013,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,3,11,0,"Highly recommended, top-notch quality!"
397,1971,Graduation,Married,43824.0,1,1,9/15/2012,18,96,1,42,12,3,32,4,3,1,4,8,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
398,1984,Graduation,Together,15345.0,1,0,8/31/2012,51,5,2,16,3,2,19,2,1,1,2,8,0,0,0,0,0,0,3,11,1,Excellent quality products and fast delivery!
399,1987,Graduation,Single,23442.0,1,0,12/24/2012,71,2,0,6,8,6,5,1,1,0,3,7,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
400,1980,2n Cycle,Together,14515.0,1,0,11/9/2012,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,3,11,1,"Highly recommended, top-notch quality!"
401,1956,2n Cycle,Divorced,31395.0,1,1,3/23/2013,80,23,1,25,0,8,7,4,2,1,3,6,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
402,1965,Graduation,Together,75276.0,0,0,9/27/2012,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,3,11,0,"Highly recommended, top-notch quality!"
403,1974,Graduation,Single,42373.0,1,1,8/15/2013,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
404,1960,Graduation,Together,30507.0,0,0,3/11/2013,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
405,1955,PhD,Single,55521.0,1,2,10/22/2013,11,416,0,26,0,0,4,9,6,3,6,7,0,1,0,0,0,0,3,11,1,"Highly recommended, top-notch quality!"
406,1965,Graduation,Married,48006.0,1,1,6/9/2014,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
407,1972,PhD,Single,27213.0,1,0,8/30/2012,19,19,3,26,10,9,3,3,2,0,4,8,0,0,0,0,0,0,3,11,1,Great customer service and very smooth experience.
408,1971,PhD,Divorced,65808.0,1,1,5/30/2014,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
409,1974,PhD,Together,30351.0,1,0,6/6/2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
410,1963,Graduation,Married,50437.0,0,2,10/17/2012,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
411,1982,2n Cycle,Single,23616.0,1,0,11/17/2012,76,4,22,11,3,7,32,2,3,0,3,8,0,0,0,0,0,0,3,11,1,Will definitely be buying again. 5 stars.
412,1976,Graduation,Married,53858.0,0,1,11/9/2012,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
413,1955,PhD,Married,66465.0,0,1,3/30/2013,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,3,11,0,Will definitely be buying again. 5 stars.
414,1987,Graduation,Single,46923.0,1,0,8/22/2012,90,85,44,54,102,78,6,3,5,1,7,7,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
415,1962,Graduation,Together,75072.0,0,1,1/23/2013,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,3,11,0,Will definitely be buying again. 5 stars.
416,1943,PhD,Married,75865.0,0,0,3/31/2014,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0,0,0,0,3,11,0,Will definitely be buying again. 5 stars.
417,1975,2n Cycle,Together,19789.0,1,0,11/20/2013,24,2,5,9,28,6,28,3,2,1,3,5,1,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
418,1994,Graduation,Together,80134.0,0,0,2/14/2014,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,3,11,0,Absolutely love the selection of wines and meats.
419,1981,Graduation,Single,91065.0,0,0,2/22/2013,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,0,3,11,1,Will definitely be buying again. 5 stars.
420,1971,Master,Married,49505.0,1,1,3/5/2013,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
421,1973,PhD,Married,37401.0,1,0,5/6/2014,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
422,1983,Graduation,Married,30096.0,1,0,5/22/2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
423,1982,Master,Together,18492.0,1,0,6/5/2014,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
424,1974,Master,Married,82584.0,0,0,6/4/2013,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,3,11,1,"Highly recommended, top-notch quality!"
425,1941,PhD,Married,93027.0,0,0,4/13/2013,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,1,0,0,0,3,11,0,Great customer service and very smooth experience.
426,1953,Graduation,Married,48686.0,1,2,12/4/2013,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
427,1986,Graduation,Married,92910.0,0,0,4/24/2014,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,3,11,0,Absolutely love the selection of wines and meats.
428,1989,Graduation,Married,75433.0,1,0,4/5/2014,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,3,11,0,Absolutely love the selection of wines and meats.
429,1989,2n Cycle,Together,10404.0,1,0,5/4/2014,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
430,1968,Graduation,Married,61314.0,0,1,4/25/2013,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,3,11,0,Great customer service and very smooth experience.
431,1961,PhD,Single,84865.0,0,0,5/9/2013,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,0,3,11,1,Excellent quality products and fast delivery!
432,1989,Graduation,Married,42387.0,1,0,10/29/2012,42,235,0,235,19,4,191,5,8,1,7,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
433,1967,2n Cycle,Together,67309.0,1,1,1/23/2013,76,515,47,181,149,95,95,15,9,6,9,7,0,0,0,0,0,0,3,11,0,Excellent quality products and fast delivery!
434,1964,Graduation,Married,75236.0,0,1,11/25/2013,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,3,11,0,Absolutely love the selection of wines and meats.
435,1970,Graduation,Single,30015.0,1,0,2/2/2014,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
436,1956,Master,Together,50943.0,0,1,6/21/2013,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
437,1966,Graduation,Divorced,67272.0,0,1,12/21/2013,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
438,1949,Master,Widow,51529.0,0,1,9/7/2013,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
439,1971,PhD,Married,32011.0,1,0,8/22/2013,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
440,1986,2n Cycle,Married,7500.0,1,0,2/7/2013,96,1,11,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
441,1989,Graduation,Married,28691.0,1,0,7/4/2013,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
442,1948,PhD,Married,56223.0,0,1,12/20/2013,72,77,28,31,16,0,4,2,2,1,5,4,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
443,1946,Graduation,Married,18100.0,0,0,8/6/2013,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
444,1989,Graduation,Single,30279.0,1,0,12/30/2012,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
445,1974,2n Cycle,Married,20130.0,0,0,3/17/2014,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
446,1959,Graduation,Divorced,23295.0,0,0,7/13/2013,72,0,0,1,2,12,5,1,1,0,2,8,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
447,1972,Master,Divorced,42618.0,1,0,10/9/2013,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
448,1964,Graduation,Single,81246.0,0,0,12/29/2013,87,398,190,537,61,156,37,1,4,5,7,1,1,0,0,1,0,0,3,11,0,Absolutely love the selection of wines and meats.
449,1976,Graduation,Married,24027.0,1,0,6/9/2013,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
450,1953,PhD,Married,55707.0,0,1,12/22/2013,91,208,7,82,30,66,35,2,3,2,9,3,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
451,1955,Graduation,Single,57959.0,0,1,5/2/2013,71,430,16,322,43,24,33,5,4,7,11,3,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
452,1969,Graduation,Married,56796.0,0,1,2/16/2013,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,3,11,0,Excellent quality products and fast delivery!
453,1971,Master,Single,36230.0,1,0,10/17/2013,17,14,2,30,8,2,3,1,2,0,4,5,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
454,1980,2n Cycle,Married,70829.0,1,1,12/1/2013,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
455,1976,Graduation,Married,65991.0,0,1,9/7/2012,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
456,1972,Graduation,Married,38988.0,1,2,8/20/2012,90,164,24,103,12,3,42,7,5,1,6,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
457,1966,2n Cycle,Single,89572.0,0,0,9/15/2012,44,606,24,974,197,194,64,1,7,7,9,4,0,1,0,1,0,0,3,11,1,Excellent quality products and fast delivery!
458,1984,Master,Married,42207.0,1,0,4/1/2013,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,3,11,1,Excellent quality products and fast delivery!
459,1952,Graduation,Married,50300.0,0,1,5/25/2014,52,143,15,60,24,23,5,2,2,1,8,2,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
460,1982,2n Cycle,Together,66664.0,0,0,9/25/2012,78,398,96,447,220,96,32,1,5,7,6,3,0,0,0,0,0,0,3,11,0,Will definitely be buying again. 5 stars.
461,1964,Graduation,Married,60597.0,0,1,1/1/2014,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,0,3,11,1,Absolutely love the selection of wines and meats.
462,1949,Graduation,Widow,70165.0,0,0,9/22/2013,60,161,0,253,199,191,122,1,3,7,11,1,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
463,1958,PhD,Widow,50520.0,0,1,1/28/2014,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
464,1963,Graduation,Married,80124.0,0,0,6/26/2014,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,3,11,0,Excellent quality products and fast delivery!
465,1975,Graduation,Married,33183.0,1,0,2/24/2014,46,7,5,39,17,15,37,2,4,0,3,7,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
466,1969,PhD,Single,66582.0,0,0,3/3/2014,83,789,25,420,16,38,0,1,2,8,9,1,0,0,0,0,0,0,3,11,0,Will definitely be buying again. 5 stars.
467,1955,PhD,Together,75261.0,0,0,4/23/2013,17,1239,17,413,23,34,17,1,5,6,5,2,0,1,1,0,0,0,3,11,1,Will definitely be buying again. 5 stars.
468,1970,Graduation,Widow,31880.0,1,0,10/31/2012,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
469,1951,Graduation,Married,53790.0,0,2,3/6/2014,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
470,1971,PhD,Together,49269.0,1,0,8/15/2012,92,639,8,166,11,8,58,3,7,3,12,7,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
471,1975,Graduation,Married,61456.0,0,1,3/27/2013,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,3,11,0,Absolutely love the selection of wines and meats.
472,1980,Graduation,Married,37406.0,1,0,10/10/2013,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,0,3,11,1,Excellent quality products and fast delivery!
473,1981,PhD,Together,56937.0,1,0,8/4/2012,81,746,8,125,11,8,8,7,8,6,9,6,0,1,0,0,0,0,3,11,1,Absolutely love the selection of wines and meats.
474,1978,Graduation,Married,38415.0,1,1,1/2/2013,91,22,1,13,4,0,4,2,1,0,3,7,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
475,1988,Graduation,Single,20518.0,1,0,5/18/2014,58,4,1,6,4,1,9,1,1,1,2,5,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
476,1956,Graduation,Married,62503.0,0,1,2/18/2013,40,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
477,1972,PhD,Single,41644.0,1,1,5/9/2014,67,20,3,4,2,0,2,2,1,0,3,3,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
478,1977,Master,Married,55842.0,0,1,5/23/2014,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
479,1972,PhD,Married,62010.0,0,1,10/23/2012,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
480,1977,Graduation,Married,41124.0,1,0,10/31/2012,41,281,7,84,15,0,119,7,7,3,4,8,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
481,1973,Master,Married,38961.0,1,0,12/30/2013,60,19,7,19,0,1,24,1,2,1,2,7,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
482,1972,Master,Divorced,37760.0,1,0,8/11/2013,54,26,3,13,2,10,0,1,2,0,3,6,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
483,1974,Graduation,Single,32233.0,1,0,8/19/2012,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,0,3,11,1,Absolutely love the selection of wines and meats.
484,1975,Graduation,Married,43057.0,0,1,10/30/2013,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
485,1960,Master,Together,83151.0,0,0,10/10/2012,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
486,1964,PhD,Divorced,78825.0,0,0,9/14/2012,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,3,11,1,"Highly recommended, top-notch quality!"
487,1976,Master,Together,65104.0,0,1,11/14/2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,0,"Highly recommended, top-notch quality!"
488,1974,Graduation,Married,60093.0,0,1,6/26/2013,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
489,1969,Graduation,Married,14045.0,1,0,1/26/2014,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
490,1952,2n Cycle,Widow,28457.0,0,0,10/28/2012,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
491,1958,PhD,Together,78952.0,0,1,9/24/2012,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,3,11,0,Great customer service and very smooth experience.
492,1976,Graduation,Divorced,46310.0,1,0,12/3/2012,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
493,1955,Graduation,Together,76005.0,0,0,2/22/2013,72,983,20,389,240,50,40,1,3,5,13,6,0,0,0,1,0,0,3,11,0,Absolutely love the selection of wines and meats.
494,1964,Master,Single,58308.0,0,1,1/12/2013,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
495,1944,PhD,Divorced,55614.0,0,0,11/27/2013,85,504,13,131,8,0,26,1,9,4,6,7,0,1,0,0,0,0,3,11,0,"It was okay, nothing special."
496,1962,Master,Divorced,59432.0,0,1,4/13/2013,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
497,1978,Graduation,Divorced,55563.0,0,1,4/5/2014,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
498,1971,PhD,Together,78642.0,0,1,4/21/2013,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,3,11,0,Will definitely be buying again. 5 stars.
499,1949,PhD,Together,67911.0,0,1,5/22/2014,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
500,1944,Graduation,Married,65275.0,0,0,4/3/2013,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
501,1950,Graduation,Together,27203.0,1,1,8/6/2012,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
502,1961,Master,Together,48330.0,0,1,11/15/2013,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
503,1990,Basic,Married,24279.0,0,0,12/29/2012,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
504,1985,PhD,Married,64355.0,1,0,8/24/2012,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,3,11,0,Great customer service and very smooth experience.
505,1956,Master,Together,50943.0,0,1,6/21/2013,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
506,1953,Graduation,Widow,53653.0,0,0,11/7/2012,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,3,11,0,"Highly recommended, top-notch quality!"
507,1976,Graduation,Married,65665.0,0,1,12/2/2013,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
508,1989,Graduation,Single,81217.0,0,0,7/19/2013,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,3,11,0,Absolutely love the selection of wines and meats.
509,1992,Graduation,Married,34935.0,0,0,6/21/2013,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
510,1959,Graduation,Divorced,61250.0,0,1,12/16/2012,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
511,1981,PhD,Together,39665.0,1,0,5/25/2013,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
512,1979,Graduation,Single,60152.0,0,1,3/28/2013,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
513,1964,Graduation,Married,48920.0,0,2,10/20/2013,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
514,1959,Master,Together,89120.0,0,0,3/17/2014,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,3,11,0,"Highly recommended, top-notch quality!"
515,1946,PhD,Together,44124.0,0,1,5/11/2013,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
516,1975,Master,Single,81169.0,0,0,4/14/2013,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,3,11,0,"Highly recommended, top-notch quality!"
517,1961,Graduation,Married,36443.0,1,1,2/3/2013,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
518,1990,Graduation,Single,26095.0,1,0,6/30/2013,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
519,1959,Graduation,Together,71367.0,0,0,8/23/2013,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
520,1944,Master,Married,80184.0,0,0,3/1/2014,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,3,11,0,Excellent quality products and fast delivery!
521,1965,Graduation,Divorced,30630.0,1,1,1/27/2014,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
522,1987,Master,Single,73454.0,0,0,3/1/2014,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,3,11,0,Excellent quality products and fast delivery!
523,1991,Graduation,Married,42691.0,0,0,8/16/2013,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
524,1953,Graduation,Married,70503.0,0,0,9/30/2012,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,3,11,0,Excellent quality products and fast delivery!
525,1987,Graduation,Married,25545.0,1,0,9/8/2012,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,3,11,1,Will definitely be buying again. 5 stars.
526,1986,Graduation,Married,32880.0,1,0,12/4/2012,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
527,1958,PhD,Together,77863.0,0,0,11/27/2013,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,3,11,0,Great customer service and very smooth experience.
528,1977,Master,Married,50353.0,0,0,6/8/2014,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
529,1964,Graduation,Single,61839.0,0,0,8/12/2012,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,3,11,0,"Highly recommended, top-notch quality!"
530,1960,PhD,Married,49154.0,1,1,11/3/2013,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
531,1975,2n Cycle,Widow,47682.0,0,1,2/15/2013,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
532,1969,Graduation,Single,72679.0,0,1,9/18/2013,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,3,11,0,Great customer service and very smooth experience.
533,1977,Master,Together,57954.0,1,1,6/18/2014,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,3,11,0,Might buy again if there's a good discount.
534,1962,Graduation,Married,65316.0,1,1,4/24/2013,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
535,1982,Graduation,Single,28567.0,1,0,6/17/2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
536,1951,Master,Together,47352.0,0,1,4/11/2013,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
537,1967,Graduation,Together,44931.0,0,1,1/18/2014,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
538,1967,Graduation,Divorced,76982.0,0,0,2/15/2014,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,3,11,1,Will definitely be buying again. 5 stars.
539,1952,2n Cycle,Together,57247.0,0,1,8/8/2013,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
540,1981,Master,Single,22944.0,1,0,12/23/2013,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
541,1977,2n Cycle,Together,25315.0,1,0,11/7/2013,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
542,1969,Graduation,Widow,43638.0,0,1,8/6/2012,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
543,1984,PhD,Single,42710.0,1,0,11/28/2012,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
544,1982,PhD,Married,84169.0,0,0,8/7/2013,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,3,11,1,Great customer service and very smooth experience.
545,1976,Graduation,Together,54058.0,0,1,6/4/2013,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
546,1990,2n Cycle,Married,24683.0,1,0,3/8/2014,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
547,1964,Graduation,Widow,85620.0,0,0,1/7/2014,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,3,11,1,Will definitely be buying again. 5 stars.
